Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD,CO2_Emissions_MT_Log,Total_Precipitation_mm_Log,Economic_Impact_Million_USD_Log,Temp_Precip_Ratio,Yield_Temp_Ratio,CO2_Temp_Ratio,EconomicImpact_per_CO2,Temp_Squared,Soil_Health_Squared,Climate_Efficiency,Yield_per_CO2,Weather_Region_Norm,Temperature_Binned,Precipitation_Binned,Climate_Zone,Country_Encoded,Region_Encoded,Crop_Type_Encoded,Adaptation_Strategies_Encoded,Temperature_Binned_Encoded,Precipitation_Binned_Encoded,Climate_Zone_Encoded,Cluster
2016,Australia,Victoria,Sugarcane,22.75,2117.48,25.73,2.574,5,46.0,36.9,11.64,83.55,Organic Farming,580.58,3.2857865301508276,7.658454129380087,6.365748537732571,2.9705733840886106,0.11314285714285714,0.14443017714948692,1.9373591313128806,517.5625,6980.6025,0.05343278668174299,0.7833740799594322,0.8231529959278651,Moderate,Extremely Wet,Moderate-Extremely Wet,1,29,7,3,4,1,25,0
2023,Canada,Quebec,Corn,13.66,250.47,10.94,1.737,4,45.4,24.93,16.93,75.18,Crop Rotation,253.39,2.479894107964456,5.527323698130622,5.53886852251728,2.4713587888149022,0.12715959004392388,0.1815442245947625,2.233510094132079,186.5956,5652.032400000001,0.5076839144165923,0.7004331331815464,0.6520198440822111,Very Cold,Very Dry,Very Cold-Very Dry,3,21,2,0,5,3,33,0
2021,Argentina,Northwest,Barley,19.42,1049.71,19.52,2.466,2,83.19,13.51,42.46,61.47,Crop Rotation,277.87,3.021400020302569,6.9572214051139865,5.630745723412227,2.791344255010356,0.1269824922760041,0.15558187540178006,1.8636213959012131,377.1364000000001,3778.5609,0.12096911744767995,0.8161779252761937,0.3256427158866183,Mild,Moderate,Mild-Moderate,0,12,0,0,3,2,20,0
1999,India,Tamil Nadu,Fruits,24.88,2469.16,18.25,3.186,8,11.01,17.53,91.8,92.4,Organic Farming,535.56,2.9575110607337933,7.812038204851998,6.285178391791482,3.1848282544940987,0.12805466237942123,0.11887102334139041,2.1251580341451217,619.0143999999999,8537.76,0.05186163001969141,1.077257171511479,1.3569482288828338,Warm,Extremely Wet,Warm-Extremely Wet,6,28,4,3,7,1,43,0
2020,Brazil,Northeast,Rice,6.02,2141.14,18.0,2.502,1,74.0,4.71,96.73,61.39,Water Management,381.25,2.9444389791664403,7.669560608348981,5.946074844809171,0.7849211066207246,0.4156146179401993,0.48910946497781405,2.019425393727291,36.240399999999994,3768.7321,0.19410903441166824,0.8497374262815617,0.16451542332093635,Very Cold,Extremely Wet,Very Cold-Extremely Wet,2,11,5,4,5,1,31,0
2012,Russia,Siberian,Sugarcane,6.63,372.08,13.98,1.296,2,98.93020000000001,1.27,51.58,45.17,No Adaptation,418.1,2.7067159780890733,5.921792873858663,6.038109554931026,1.1195933632308668,0.19547511312217195,0.4082527870420925,2.2307880116752767,43.9569,2040.3289000000002,0.5253577540372285,0.47880901080540006,0.3452631578947368,Very Cold,Very Dry,Very Cold-Very Dry,8,23,7,2,5,3,33,0
2004,Argentina,Patagonia,Vegetables,24.08,1802.41,4.25,1.25,0,16.62,28.1,42.12,92.72,Organic Farming,423.15,1.6582280766035324,7.497434596131945,6.050087166253744,3.211765263337313,0.051910299003322266,0.06886329221775467,3.64852534558807,579.8463999999999,8596.9984,0.028800494339979395,0.7538166900178858,0.0,Warm,Extremely Wet,Warm-Extremely Wet,0,17,8,3,7,1,43,0
1996,Australia,Western Australia,Sugarcane,14.84,2765.15,14.43,2.16,0,74.25,39.84,42.36,57.56,Crop Rotation,454.73,2.7363136663750693,7.925211740689238,6.121900528887681,1.872505175326634,0.14555256064690028,0.18438771336759227,2.2372802519375155,220.2256,3313.1536,0.052638215158996894,0.7893831860517144,0.0,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,33,7,0,5,1,31,0
1990,Russia,Central,Coffee,-1.55,2567.68,24.32,2.52,0,98.83,25.77,21.2,57.98,Water Management,976.43,3.2315945972759756,7.8511474272649675,6.884926678042116,-0.19742337210701943,-1.6258064516129032,-2.0848997401780487,2.1305044524599905,2.4025000000000003,3361.6803999999997,-0.6331811018557232,0.7798007838372413,0.0,Very Cold,Extremely Wet,Very Cold-Extremely Wet,8,1,1,4,5,1,31,0
2005,Russia,Northwestern,Sugarcane,-1.29,1960.5,23.16,0.7290000000000001,8,29.12,2.41,54.94,88.83,Organic Farming,156.06,3.184698373066614,7.581464765649607,5.056627897946728,-0.17015181628816398,-0.5651162790697675,-2.468758428733809,1.5877886398006331,1.6641000000000001,7890.7689,-0.288251098734898,0.22890707834853147,1.396923076923077,Very Cold,Extremely Wet,Very Cold-Extremely Wet,8,13,7,3,5,1,31,0
2021,Russia,Northwestern,Rice,9.91,327.03,27.27,1.872,8,29.57,48.85,28.42,41.06,Drought-resistant Crops,480.46,3.341801171705499,5.7931050676162545,6.176823154059433,1.710654283727287,0.18890010090817358,0.33721505264434903,1.8483514837320714,98.2081,1685.9236,0.5776231566161318,0.5601769536290572,1.396923076923077,Very Cold,Very Dry,Very Cold-Very Dry,8,13,5,1,5,3,33,0
2006,France,Grand Est,Rice,31.83,1656.12,12.09,2.39,8,87.73,36.57,61.91,59.26,Organic Farming,799.67,2.5718485799218085,7.412836434840568,6.685448877160488,4.293902918240308,0.07508639648130695,0.0807995155489101,2.5994721965177843,1013.1488999999999,3511.7475999999997,0.0453387414446459,0.9292926569077651,1.4042847270214238,Very Hot,Very Wet,Very Hot-Very Wet,5,3,5,3,6,4,40,0
1994,China,North,Corn,2.12,2168.59,2.25,1.35,4,52.36,20.82,25.64,56.44,Organic Farming,555.52,1.1786549963416462,7.682293488590911,6.321703108973676,0.2759592565876901,0.6367924528301887,0.5559693378970029,5.363489001103136,4.494400000000001,3185.4736,0.2936435438834398,1.1453733316281534,0.6641318124207858,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,8,2,3,5,1,31,0
2010,Nigeria,South West,Sugarcane,-1.78,1576.99,0.77,2.24,1,21.6,20.23,72.73,64.96,No Adaptation,413.94,0.5709795465857378,7.363907164250125,6.0281339314649935,-0.24171950573215292,-1.258426966292135,-0.24621063535458163,10.988803646144989,3.1684,4219.801599999999,-0.7979929906290687,4.431302517100311,0.16927899686520376,Very Cold,Very Wet,Very Cold-Very Wet,7,26,7,2,5,4,34,0
2011,India,Maharashtra,Vegetables,-1.82,2356.99,4.35,1.88,0,55.34,34.92,5.32,34.45,Drought-resistant Crops,716.18,1.6770965609079151,7.7655648402062205,6.575326855117945,-0.2343680128169104,-1.0329670329670328,-0.9214816268724808,3.9206608661568763,3.3124000000000002,1186.8025000000002,-0.43825685852168783,1.1209849473319775,0.0,Very Cold,Extremely Wet,Very Cold-Extremely Wet,6,5,8,1,5,1,31,0
2015,Brazil,South,Cotton,9.52,1170.23,9.21,0.7,5,41.02,25.59,63.68,68.97,Drought-resistant Crops,189.86,2.3233676321765744,7.065809757633093,5.251540174989108,1.3473331899030652,0.07352941176470588,0.24405122186728723,2.260313909111907,90.6304,4756.8609,0.06283329923579628,0.30128680037787514,0.8462401795735129,Very Cold,Wet,Very Cold-Wet,2,24,3,1,5,5,35,0
2000,Nigeria,North West,Corn,18.99,355.44,7.96,4.473,6,33.89,38.66,67.81,72.7,No Adaptation,1634.91,2.192770226986839,5.876165922744519,7.399954503424525,3.2316990789005047,0.23554502369668248,0.11546973285870664,3.3747058457616226,360.6200999999999,5285.29,0.6626857520163247,2.0398854129584305,0.9676237018937079,Cool,Very Dry,Cool-Very Dry,7,10,2,2,1,3,9,0
2017,Nigeria,North Central,Rice,1.4,1784.86,22.3,1.62,10,24.7,1.76,22.37,82.82,Drought-resistant Crops,752.91,3.148453360571655,7.48765537090598,6.625272997488354,0.18697441731090314,1.1571428571428573,2.2488952575511822,2.1042944705667876,1.9599999999999997,6859.152399999999,0.6483101515765143,0.5145383508891685,1.709090909090909,Very Cold,Extremely Wet,Very Cold-Extremely Wet,7,9,5,1,5,1,31,0
2023,Nigeria,South West,Coffee,-1.74,2059.35,13.16,0.81,3,21.37,13.81,77.68,98.68,Crop Rotation,102.8879,2.6504210882655737,7.630631150264382,4.6433124129376555,-0.22802831977269838,-0.4655172413793104,-1.5232305104974562,1.728551616800157,3.0276,9737.742400000001,-0.22605057002418746,0.3056118152644421,0.5078369905956113,Very Cold,Extremely Wet,Very Cold-Extremely Wet,7,26,1,0,5,1,31,0
2024,France,Grand Est,Soybeans,23.92,1356.95,18.78,2.457,4,40.8,22.69,75.78,83.36,No Adaptation,530.49,2.984671326194566,7.213731488589559,6.275684382929557,3.315898302818155,0.10271739130434782,0.12477722935596011,2.1026383467592757,572.1664000000001,6948.8895999999995,0.0756972558342959,0.8232062198730126,0.7021423635107119,Warm,Wet,Warm-Wet,5,3,6,2,7,5,47,0
2018,Russia,Northwestern,Corn,7.8,1923.69,28.8,0.963,1,98.58,24.2,8.35,39.45,Crop Rotation,280.28,3.3945083935113587,7.56252019479268,5.639350614496812,1.031402204435876,0.12346153846153846,0.4351933837835075,1.6613158551254417,60.839999999999996,1556.3025000000002,0.06417953956278738,0.28369350974084656,0.17461538461538462,Very Cold,Extremely Wet,Very Cold-Extremely Wet,8,13,2,0,5,1,31,0
2004,China,South,Cotton,4.24,2066.07,27.27,1.584,8,21.77,32.34,53.68,65.79,Crop Rotation,323.34,3.341801171705499,7.633887424613909,5.781792348291228,0.555418198378062,0.37358490566037733,0.788160653704127,1.730142534285028,17.977600000000002,4328.324100000001,0.1808190940579832,0.47399588383997143,1.3539842873176207,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,24,3,0,5,1,31,0
1992,Nigeria,North Central,Wheat,0.52,969.88,2.15,2.01,1,57.96,21.1,55.61,30.68,Drought-resistant Crops,555.59,1.1474024528375417,6.878202876720112,6.321828882706896,0.0756011431067243,3.865384615384615,2.206543178533734,5.5096874397234625,0.27040000000000003,941.2624,3.8187600637369914,1.7517829032256667,0.1709090909090909,Very Cold,Moderate,Very Cold-Moderate,7,9,9,1,5,2,32,2
2004,India,Punjab,Barley,-3.3,564.22,7.47,1.24,0,74.05,47.81,41.47,45.64,Crop Rotation,368.9,2.136530508663963,6.337215035888489,5.913232698838408,-0.5207334738227537,-0.3757575757575758,-0.6474334874739283,2.767679972206964,10.889999999999999,2083.0096,-0.6659770581645028,0.5803801981631469,0.0,Very Cold,Dry,Very Cold-Dry,6,20,0,0,5,0,30,0
2016,USA,Midwest,Fruits,17.35,2700.83,29.52,1.953,4,54.07,22.25,59.98,62.86,No Adaptation,283.07,3.4183822064162563,7.901684600182574,5.649220686663519,2.195734312098349,0.11256484149855907,0.19702491103263722,1.6526006588906323,301.02250000000004,3951.3795999999998,0.04167786995055559,0.5713228896213671,0.635279347143754,Cool,Extremely Wet,Cool-Extremely Wet,9,6,4,2,1,1,7,0
2016,China,Central,Coffee,13.34,593.98,28.4,2.6910000000000003,1,20.5,37.46,22.01,95.61,Drought-resistant Crops,363.34,3.380994674344636,6.388527791535307,5.898087497602683,2.0881180195655213,0.2017241379310345,0.25344787663752893,1.7444829305287073,177.9556,9141.2721,0.33961436063677986,0.7959196210569652,0.16425801903419104,Very Cold,Dry,Very Cold-Dry,4,1,1,1,5,0,30,0
2017,Argentina,Pampas,Vegetables,32.21,687.02,23.86,0.855,8,43.05,1.08,83.16,38.76,Organic Farming,318.3,3.213260086082565,6.533817907278268,5.766131099720736,4.9297364048239025,0.02654455138155852,0.09975970462845592,1.7944800437086608,1037.4841000000001,1502.3375999999998,0.03863723236813851,0.26608490352312886,1.3504144687264505,Very Hot,Dry,Very Hot-Dry,0,16,8,3,6,0,36,0
1997,Brazil,South,Barley,-0.1,564.57,16.36,1.269,3,23.37,27.46,44.1,56.97,Drought-resistant Crops,585.98,2.854168709232204,6.337834072157251,6.374990747697392,-0.015778260973935903,-4.209959302325581,-6.7632160081153705,2.2335718022121824,0.0324,3245.5809,-3.919497977866039,0.4446128205019008,0.5077441077441078,Very Cold,Dry,Very Cold-Dry,2,24,0,1,5,0,30,1
1995,USA,Northeast,Cotton,5.78,2358.39,14.6,1.18,6,30.72,3.9,70.85,45.84,Drought-resistant Crops,522.33,2.747270914255491,7.766158390033074,6.260212240227208,0.7442547151005743,0.2041522491349481,0.47530638654939295,2.2787021868659507,33.4084,2101.3056,0.0865642447326134,0.42951715969365156,0.9870925399256181,Very Cold,Extremely Wet,Very Cold-Extremely Wet,9,11,3,1,5,1,31,0
2006,Russia,Siberian,Cotton,31.72,2179.29,19.88,0.873,1,50.85,22.81,40.03,42.96,Organic Farming,312.46,3.038791763014438,7.6872131744586945,5.747671760225922,4.126332817904924,0.027522068095838587,0.0958004969424476,1.8914332433639063,1006.1583999999999,1845.5616,0.012628914965809316,0.2872852331065938,0.1726315789473684,Very Hot,Extremely Wet,Very Hot-Extremely Wet,8,23,3,3,6,1,37,0
2014,Nigeria,North West,Corn,32.31,881.06,22.01,2.007,5,35.6,38.3,89.6,78.13,Crop Rotation,717.21,3.1359289040472746,6.78226008090393,6.576762005393183,4.763898702583192,0.062116991643454036,0.09705753339669683,2.097229308006671,1043.9361000000001,6104.296899999999,0.07050256695736276,0.6400017543158384,0.8063530849114233,Very Hot,Moderate,Very Hot-Moderate,7,10,2,0,6,2,38,0
2003,Argentina,Northeast,Fruits,22.32,1238.2,12.53,3.83,0,87.58,5.34,27.66,82.72,Organic Farming,633.46,2.604909442182697,7.122221289102659,6.452774243402057,3.133853764716729,0.17159498207885304,0.116707412284171,2.4771587598819447,498.18240000000003,6842.5984,0.1385842207065523,1.4703006323286154,0.0,Moderate,Wet,Moderate-Wet,0,11,4,3,4,5,29,0
1991,Australia,Victoria,Wheat,24.28,371.93,11.22,2.007,0,57.27,36.56,78.73,55.44,Water Management,643.67,2.503073953743449,5.921390734471734,6.468738557962579,4.1003880825922385,0.08266062602965404,0.10309200797954897,2.584317793842374,589.5184,3073.5935999999997,0.22224780477416195,0.8018141042131215,0.0,Warm,Very Dry,Warm-Very Dry,1,29,9,4,7,3,45,0
2023,Argentina,Pampas,Rice,13.19,2256.83,19.69,3.042,2,95.72,40.19,50.0,36.7,Water Management,987.7,3.029650491757452,7.722159454009966,6.896390948903087,1.708071437601653,0.23062926459438968,0.22969298648653919,2.276299186214909,173.97609999999997,1346.89,0.10219168683258806,1.0040762154829894,0.33760361718161264,Very Cold,Extremely Wet,Very Cold-Extremely Wet,0,16,5,4,5,1,31,0
2019,Nigeria,South East,Soybeans,29.75,1707.86,13.68,2.48,3,85.7,9.4,1.19,50.71,Organic Farming,718.05,2.6864860231863696,7.4435817605090016,6.577930896332388,3.9967318096557936,0.08336134453781513,0.09030205119954184,2.448526007416364,885.0625,2571.5041,0.04881040866219428,0.9231389921986409,0.4761904761904762,Very Hot,Extremely Wet,Very Hot-Extremely Wet,7,25,6,3,6,1,37,0
2012,Nigeria,North West,Sugarcane,18.69,2232.5,20.58,3.564,6,29.63,41.09,35.99,38.13,Crop Rotation,1026.57,3.0717669598299886,7.711325140792173,6.9349520705705645,2.4237079436751654,0.19069020866773675,0.16435350239860827,2.2576426406234895,349.31610000000006,1453.8969000000002,0.08541554699562677,1.1602442654690364,0.9676237018937079,Cool,Extremely Wet,Cool-Extremely Wet,7,10,7,0,1,1,7,0
2018,Canada,British Columbia,Barley,16.56,1806.69,22.7,4.041,3,79.74,40.42,88.98,93.2,Drought-resistant Crops,1589.23,3.1654750481410856,7.499805066074154,7.371633938840934,2.208057390039404,0.24402173913043482,0.19115187488774674,2.3287607157636265,274.23359999999997,8686.24,0.13506563889235831,1.2765856430847762,0.5017277125086386,Cold,Extremely Wet,Cold-Extremely Wet,3,0,0,1,0,1,1,0
2017,China,South,Coffee,10.58,2975.9510999999998,2.36,3.93,0,38.34,12.79,47.14,47.83,Water Management,1338.0,1.2119409739751128,7.998654934941965,7.199678345691172,1.3224449982043252,0.3714555765595463,0.11455018657609761,5.940617984122235,111.9364,2287.7088999999996,0.12460979773546901,3.2427321828304674,0.0,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,24,1,4,5,1,31,0
2001,China,East,Corn,3.97,2507.34,26.14,0.972,10,16.71,41.37,37.25,94.56,Crop Rotation,431.61,3.301008654406723,7.8273764587527435,6.06983662929432,0.5071942075253911,0.24483627204030226,0.8314883260470335,1.8387824040362073,15.760900000000001,8941.5936,0.09764781483177482,0.29445545339677204,1.6862260654725139,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,2,2,0,5,1,31,0
1994,Australia,Western Australia,Vegetables,25.85,412.32,3.83,2.241,5,46.84,33.53,8.67,91.78,No Adaptation,276.12,1.5748464676644813,6.0242221113461545,5.62445062537407,4.291010444537484,0.08669245647969052,0.06092249391351958,3.5714279079631215,668.2225000000001,8423.5684,0.21025527861779814,1.4229958576999786,0.810611643330877,Hot,Very Dry,Hot-Very Dry,1,33,8,2,2,3,15,0
2011,Australia,New South Wales,Coffee,24.69,1411.56,6.65,0.94,1,37.69,8.01,18.09,66.75,Crop Rotation,334.84,2.0347056478384444,7.253158939994543,5.816634856072323,3.4040340497513735,0.03807209396516808,0.08241011129357814,2.8587107242030734,609.5961000000001,4455.5625,0.026971644113723877,0.4619832853949182,0.17142857142857143,Warm,Very Wet,Warm-Very Wet,1,7,1,0,7,4,46,0
2012,Nigeria,South West,Cotton,33.29,1973.49,15.99,3.3480000000000003,4,23.71,44.65,36.88,92.47,Drought-resistant Crops,604.03,2.8326249356838407,7.588065416140569,6.405278043578317,4.387152478837209,0.10057074196455393,0.08508936424403246,2.2612517325849146,1108.2241,8550.7009,0.05096085714371694,1.1819425712962384,0.677115987460815,Very Hot,Extremely Wet,Very Hot-Extremely Wet,7,26,3,1,6,1,37,0
2010,Russia,Siberian,Cotton,20.76,2929.35,26.97,1.323,1,92.67,14.89,46.38,42.97,No Adaptation,449.68,3.3311325072138684,7.982877148801975,6.110757553295965,2.600566138377257,0.06372832369942195,0.16045917664806686,1.8344384500053863,430.97760000000005,1846.4208999999998,0.02175510734443544,0.39716222549986346,0.1726315789473684,Mild,Extremely Wet,Mild-Extremely Wet,8,23,3,2,3,1,19,0
1993,Nigeria,South West,Rice,-0.57,2775.29,20.83,1.827,4,83.35,8.62,83.78,48.72,No Adaptation,839.53,3.0832851705618527,7.928870783029202,6.734032645251546,-0.0718891776140452,-3.2052631578947373,-5.409272229055882,2.184044703209997,0.32489999999999997,2373.6384,-1.1549290913363062,0.5925497963806813,0.677115987460815,Very Cold,Extremely Wet,Very Cold-Extremely Wet,7,26,5,2,5,1,31,1
2011,France,Nouvelle-Aquitaine,Soybeans,27.59,2933.29,24.04,1.854,3,24.92,8.75,71.86,55.34,Water Management,335.88,3.2204745462318978,7.984220794990921,5.819726783853672,3.45556576006881,0.06719826023921711,0.11672615245494374,1.8071022454324372,761.2081,3062.5156,0.022908836234813847,0.5756915551992997,0.5026595744680851,Very Hot,Extremely Wet,Very Hot-Extremely Wet,5,14,6,4,6,1,37,0
1996,India,West Bengal,Corn,6.08,814.97,9.31,1.8,0,62.89,1.43,2.08,65.45,Organic Farming,795.14,2.3331142980288684,6.7043775895823865,6.6797750497764,0.9068701633761533,0.29605263157894735,0.38373590428106386,2.8630294947057706,36.9664,4283.7025,0.3632681345067271,0.7715009939807621,0.0,Very Cold,Moderate,Very Cold-Moderate,6,32,2,3,5,2,32,0
2007,Russia,Central,Coffee,19.5,2503.29,23.08,3.825,4,56.13,28.06,76.06,36.68,No Adaptation,699.11,3.1813816204406202,7.825760540210471,6.551237465554902,2.4917705953056872,0.19615384615384615,0.1631477754072113,2.059242884746269,380.25,1345.4224,0.0783584187824208,1.2023078197925336,0.6570320761367642,Mild,Extremely Wet,Mild-Extremely Wet,8,1,1,2,3,1,19,0
2006,India,Punjab,Fruits,12.9,1789.33,24.27,2.1870000000000003,8,18.82,32.58,92.04,73.49,Crop Rotation,679.31,3.229617921400103,7.490155239384936,6.522548576640305,1.7222606992401002,0.16953488372093026,0.25035797840310875,2.019603784528373,166.41,5400.780099999999,0.09474768976149188,0.6771698861058749,1.4266253869969039,Very Cold,Extremely Wet,Very Cold-Extremely Wet,6,20,4,0,5,1,31,0
2014,Nigeria,North Central,Cotton,16.92,2975.9510999999998,12.18,4.21,1,91.55,25.69,14.07,38.97,Crop Rotation,1276.87,2.578700529074361,7.998654934941965,7.1529499083237535,2.11503707365552,0.24881796690307326,0.15240546862141613,2.7738583164953026,286.28640000000007,1518.6608999999999,0.08350885267627663,1.6326052414900627,0.1709090909090909,Cold,Extremely Wet,Cold-Extremely Wet,7,9,3,0,0,1,1,0
1990,Russia,Northwestern,Soybeans,20.71,1569.38,8.49,1.19,7,83.76,14.71,62.46,44.41,Drought-resistant Crops,445.92,2.2502386126218363,7.359072907272391,6.102379607679137,2.814213184317544,0.05746016417189763,0.10865468916570914,2.711881119384503,428.9041,1972.2480999999998,0.036613289433978784,0.5288328061411616,1.2223076923076923,Mild,Very Wet,Mild-Very Wet,8,13,6,1,3,4,22,0
1995,USA,South,Vegetables,15.26,434.9,29.2,3.708,8,44.35,18.91,98.93010000000001,75.6,No Adaptation,1510.34,3.407841924380824,6.077412859244347,7.320751953505648,2.510936866299618,0.24298820445609437,0.22331860579166604,2.148207609376062,232.86759999999998,5715.359999999999,0.5587220153048847,1.088078638117498,1.3539842873176207,Cold,Very Dry,Cold-Very Dry,9,24,8,2,0,3,3,0
2021,Argentina,Northwest,Vegetables,32.87,2656.66,18.53,1.737,1,78.52,10.63,29.62,62.25,Water Management,652.09,2.9719517448885875,7.885201315365166,6.481714945200514,4.168568269265269,0.05284453909339824,0.09041532536929077,2.180962378123505,1080.4369,3875.0625,0.01989134442999791,0.5844644022189925,0.16282135794330915,Very Hot,Extremely Wet,Very Hot-Extremely Wet,0,12,8,4,6,1,37,0
2001,France,Grand Est,Vegetables,1.81,1148.55,26.91,2.061,3,73.33,33.68,4.68,66.14,Organic Farming,384.14,3.328985047548231,7.0471258404299455,5.953606904551742,0.25684229868805236,1.1386740331491711,1.8392182583139398,1.7884150332656261,3.2761,4374.4996,0.9914013609761623,0.6191076170552069,0.5266067726330339,Very Cold,Wet,Very Cold-Wet,5,3,8,3,5,5,35,0
1997,USA,South,Vegetables,16.65,2307.29,26.83,4.095,5,94.89,33.32,40.51,69.28,Organic Farming,1131.22,3.326114575537799,7.744262269648046,7.031935586170087,2.14997883855975,0.24594594594594596,0.19976664117344142,2.114159156719096,277.22249999999997,4799.7184,0.10659515966607835,1.231166247283553,0.8462401795735129,Cold,Extremely Wet,Cold-Extremely Wet,9,24,8,3,0,1,1,0
